key_centro,nome_centro,empresa,nome_empreendimento,cod_insumo,cod_sub_grupo,descricao_insumo,unidade,data_movimento,classe,tipo_movimento,tipo_documento,numero_documento,num_movimento,quantidade,preco_unitario,valor,titulo_grupo,titulo_subgrupo,quantidade_estoque_atual,valor_estoque_atual
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-03-10,S,S,RM,50052,10052,2408427,0.5,1204213.5,AGLOMERANTES,CIMENTO,1350771,675385.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-03-08,S,T,TRF,50053,10053,535765,0.5,267882.5,AGLOMERANTES,CIMENTO,815006,407503
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-03-19,E,C,NF-e,50054,10054,2258862,0.7,1581203.4,AGLOMERANTES,CIMENTO,3646454,2552517.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-03-24,S,S,RM,50055,10055,1701176,0.7,1190823.2,AGLOMERANTES,CIMENTO,1945278,1361694.5999999999
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-03-28,E,C,NF-e,50056,10056,32859,65,2135835,AGREGADOS,AREIAS,51343,3337295
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-03-27,S,S,RM,50057,10057,18753,65,1218945,AGREGADOS,AREIAS,32590,2118350
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-03-20,E,C,NF-e,50058,10058,4048931,0.45,1822018.95,CERÂMICAS,TIJOLOS,6921528,3114687.6
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-03-26,S,S,RM,50059,10059,2571082,0.45,1156986.9000000001,CERÂMICAS,TIJOLOS,4350446,1957700.7
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-03-19,E,C,NF-e,50060,10060,1698029,1,1698029,ACESSÓRIOS,VALES,2812958,2812958
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-03-31,S,S,RM,50061,10061,1263769,1,1263769,ACESSÓRIOS,VALES,1549189,1549189
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-03-16,E,C,NF-e,50062,10062,309754,6.5,2013401,AÇOS,VERGALHOES,377705,2455082.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-03-13,S,S,RM,50063,10063,182632,6.5,1187108,AÇOS,VERGALHOES,195073,1267974.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-03-01,S,T,TRF,50064,10064,43676,6.5,283894,AÇOS,VERGALHOES,151397,984080.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-03-23,E,C,NF-e,50065,10065,516349,3.2,1652316.8,FIOS E CABOS,CONDUTORES,683575,2187440
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-03-04,S,S,RM,50066,10066,379021,3.2,1212867.2,FIOS E CABOS,CONDUTORES,304554,974572.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-03-30,E,C,NF-e,50067,10067,70438,25,1760950,TELHAS ESPECIAIS,TELHAS,116588,2914700
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-03-29,S,S,RM,50068,10068,52324,25,1308100,TELHAS ESPECIAIS,TELHAS,64264,1606600
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-03-14,E,C,NF-e,50069,10069,43891,42,1843422,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,61273,2573466
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-03-06,S,S,RM,50070,10070,26454,42,1111068,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,34819,1462398
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-03-03,E,C,NF-e,50071,10071,5803,350,2031050,CONCRETO USINADO,CONCRETOS,7242,2534700
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-03-12,S,S,RM,50072,10072,3272,350,1145200,CONCRETO USINADO,CONCRETOS,3970,1389500
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-03-30,E,C,NF-e,50073,10073,340577,5.8,1975346.5999999999,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,438561,2543653.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-03-03,S,S,RM,50074,10074,218420,5.8,1266836,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,220141,1276817.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-03-03,S,T,TRF,50075,10075,73381,5.8,425609.8,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,146760,851208
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-04-20,E,C,NF-e,50076,10076,4022305,0.5,2011152.5,AGLOMERANTES,CIMENTO,4837311,2418655.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-04-04,S,S,RM,50077,10077,2055895,0.5,1027947.5,AGLOMERANTES,CIMENTO,2781416,1390708
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-04-06,S,T,TRF,50078,10078,786509,0.5,393254.5,AGLOMERANTES,CIMENTO,1994907,997453.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-04-22,E,C,NF-e,50079,10079,3001486,0.7,2101040.1999999997,AGLOMERANTES,CIMENTO,4946764,3462734.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-04-13,S,S,RM,50080,10080,1403596,0.7,982517.2,AGLOMERANTES,CIMENTO,3543168,2480217.5999999996
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-04-08,E,C,NF-e,50081,10081,24695,65,1605175,AGREGADOS,AREIAS,57285,3723525
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,227,20,AREIA GROSSA,M3,2024-04-26,S,S,RM,50082,10082,15511,65,1008215,AGREGADOS,AREIAS,41774,2715310
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-04-02,E,C,NF-e,50083,10083,4194595,0.45,1887567.75,CERÂMICAS,TIJOLOS,8545041,3845268.45
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,6081,20,TIJOLO CERÂMICO 9CM X 19CM X 19CM,UN,2024-04-13,S,S,RM,50084,10084,2109864,0.45,949438.8,CERÂMICAS,TIJOLOS,6435177,2895829.65
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-04-16,E,C,NF-e,50085,10085,1736647,1,1736647,ACESSÓRIOS,VALES,3285836,3285836
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,21114,20,VALE MATERIAL P/OBRA,R$,2024-04-20,S,S,RM,50086,10086,1109279,1,1109279,ACESSÓRIOS,VALES,2176557,2176557
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-04-19,E,C,NF-e,50087,10087,263927,6.5,1715525.5,AÇOS,VERGALHOES,415324,2699606
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-04-17,S,S,RM,50088,10088,165873,6.5,1078174.5,AÇOS,VERGALHOES,249451,1621431.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,540,20,AÇO CA-50 10.0MM,KG,2024-04-22,S,T,TRF,50089,10089,53406,6.5,347139,AÇOS,VERGALHOES,196045,1274292.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-04-14,E,C,NF-e,50090,10090,552000,3.2,1766400,FIOS E CABOS,CONDUTORES,856554,2740972.8000000003
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,880,20,CABO COBRE FLEXIVEL 2.5MM2,M,2024-04-17,S,S,RM,50091,10091,317120,3.2,1014784,FIOS E CABOS,CONDUTORES,539434,1726188.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-04-09,E,C,NF-e,50092,10092,83261,25,2081525,TELHAS ESPECIAIS,TELHAS,147525,3688125
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1050,20,TELHA ONDULADA FIBROCIMENTO,UN,2024-04-26,S,S,RM,50093,10093,44015,25,1100375,TELHAS ESPECIAIS,TELHAS,103510,2587750
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-04-24,E,C,NF-e,50094,10094,43528,42,1828176,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,78347,3290574
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,3200,20,PAVIMENTO INTERTRAVADO 6CM,M2,2024-04-23,S,S,RM,50095,10095,25996,42,1091832,PAVIMENTAÇÃO PRÉ-MOLDADA,PAVIMENTOS,52351,2198742
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-04-08,E,C,NF-e,50096,10096,5688,350,1990800,CONCRETO USINADO,CONCRETOS,9658,3380300
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,4500,20,CONCRETO USINADO FCK 30 MPA,M3,2024-04-17,S,S,RM,50097,10097,2791,350,976850,CONCRETO USINADO,CONCRETOS,6867,2403450
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-04-12,E,C,NF-e,50098,10098,308193,5.8,1787519.4,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,454953,2638727.4
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-04-22,S,S,RM,50099,10099,169356,5.8,982264.7999999999,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,285597,1656462.5999999999
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,1200,20,OLEO DIESEL S10,L,2024-04-20,S,T,TRF,50100,10100,43416,5.8,251812.8,COMBUSTÍVEIS E LUBRIFICANTES,COMBUSTIVEIS,242181,1404649.8
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-05-12,E,C,NF-e,50101,10101,3720126,0.5,1860063,AGLOMERANTES,CIMENTO,5715033,2857516.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-05-23,S,S,RM,50102,10102,2149254,0.5,1074627,AGLOMERANTES,CIMENTO,3565779,1782889.5
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,630,10,CIMENTO PORTLAND,KG,2024-05-04,S,T,TRF,50103,10103,562677,0.5,281338.5,AGLOMERANTES,CIMENTO,3003102,1501551
BRI.01.0001,Saneamento e Pavimentacao do Mondubim,BRI,Consorcio Mondubim,23307,10,CIMENTO PORTLAND COMPOSTO CP II-32,KG,2024-05-24,E,C,NF-e,50104,10104,2708788,0.7,1896151.5999999999,AGLOMERANTES,CIMENTO,6251956,4376369.2
